rang,franska,ordklass,genus,svenska,mening_franska,mening_svenska,bonusord,notering
210,froid,adjektiv,,kall,"Il fait froid en Suède, non ?","Det är kallt i Sverige, va?",,fransmännens första fråga till en svensk; non ? = eller hur?
211,soleil,substantiv,m,sol,Il y a du soleil !,Solen skiner!,,väder funkar även med il y a
212,pleuvoir,verb,,att regna,Il pleut encore ?,Regnar det igen?,,"bara i il-form, som il faut; uttal [plö]"
213,neige,substantiv,f,snö,Il y a beaucoup de neige chez nous.,Det är mycket snö hemma hos oss.,,il neige = det snöar
214,fatigué / fatiguée,adjektiv,,trött,Je suis un peu fatigué aujourd'hui.,Jag är lite trött idag.,,småbarnsförälderns viktigaste adjektiv
215,content / contente,adjektiv,,"glad, nöjd",Je suis très content d'être ici !,Jag är väldigt glad att vara här!,,content de + infinitiv = glad att
216,prêt / prête,adjektiv,,"redo, klar",Tu es prêt ? On y va !,Är du redo? Nu kör vi!,,"Prêts ? Partez ! = Färdiga, gå!"
217,facile,adjektiv,,"lätt, enkel","Le français, c'est facile !",Franska är lätt!,,
218,difficile,adjektiv,,svår,"C'est difficile, mais c'est possible.","Det är svårt, men det är möjligt.",possible = möjlig – gratisord!,projektmotto
219,gratuit / gratuite,adjektiv,,gratis,Mon site est gratuit !,Min sajt är gratis!,site (m) = sajt – gratisord!,svenskans gratis och gratuit har samma latinska rot
220,tête,substantiv,f,huvud,Je mets tout dans ma tête !,Jag lägger allt i huvudet!,,din yrkesbeskrivning på fem ord
221,main,substantiv,f,hand,Kalle me donne la main.,Kalle håller mig i handen.,,"feminint trots -ain (train, pain är m) – palatstest!"
222,yeux,substantiv,m,ögon,Il a les yeux de Jessica.,Han har Jessicas ögon.,,"singular: un œil [öj] – konstigaste ordparet: un œil, des yeux"
223,cœur,substantiv,m,hjärta,J'apprends tout par cœur.,Jag lär mig allt utantill.,,"par cœur = utantill, ordagrant genom hjärtat"
224,avoir mal,uttryck,,att ha ont,J'ai mal à la tête.,Jag har ont i huvudet.,,avoir mal à + kroppsdel; Ça fait mal ! = Det gör ont!
225,école,substantiv,f,skola,Kalle va à l'école dans cinq ans !,Kalle börjar skolan om fem år!,,"dans + tid = om: dans cinq ans, dans une minute"
226,travail,substantiv,m,"jobb, arbete",J'aime mon travail.,Jag gillar mitt jobb.,,Au travail ! = Sätt igång!; verbet travailler kan du redan
227,voiture,substantiv,f,bil,On prend la voiture ou le train ?,Ska vi ta bilen eller tåget?,,En voiture ! = Alla ombord!
228,gare,substantiv,f,tågstation,"La gare, s'il vous plaît !","Till stationen, tack!",taxi (m) = taxi – gratisord!,gare = tågstation; station = metrostation (falsk vän)
229,rue,substantiv,f,gata,C'est dans cette rue.,Det är på den här gatan.,,franskan är i gatan: dans la rue
230,hôtel,substantiv,m,hotell,Notre hôtel est près de la gare.,Vårt hotell ligger nära stationen.,près de = nära,gratisord! h tyst: [åtäll]
231,cinéma,substantiv,m,bio,On va au cinéma ce soir ?,Ska vi gå på bio ikväll?,,gratisord! talspråk: le ciné; maskulint trots -a
